Age,Gender,MaritalStatus,DistanceFromHome,Attrition,BusinessTravel,Department,JobRole,JobLevel,Education,EducationField,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,OverTime,Distance_Group,Age_Group,Hike_Group,JobSat_Label,Stock_Label,IncomeBand
41,Female,Single,1,Yes,Travel_Rarely,Sales,Sales Executive,2,2,Life Sciences,5993,11,0,8,8,6,4,0,5,0,2,4,3,3,1,1,Yes,Close (0-5km),Experienced (41+),Standard (11-14%),Very High,None,Medium
49,Male,Married,8,No,Travel_Frequently,Research & Development,Research Scientist,2,1,Life Sciences,5130,23,1,10,1,10,7,1,7,3,3,2,2,4,4,3,No,Moderate (6-15km),Experienced (41+),Top Tier (19-25%),Medium,Low,Medium
37,Male,Single,2,Yes,Travel_Rarely,Research & Development,Laboratory Technician,1,2,Other,2090,15,0,7,6,0,0,0,0,3,4,3,2,3,2,3,Yes,Close (0-5km),Mid Career (29-40),High (15-18%),High,None,Low
33,Female,Married,3,No,Travel_Frequently,Research & Development,Research Scientist,1,4,Life Sciences,2909,11,0,8,1,8,7,3,0,3,4,3,3,3,3,3,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),High,None,Low
27,Male,Married,2,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Medical,3468,12,1,6,9,2,2,2,2,3,1,2,3,3,4,3,No,Close (0-5km),Early Career (18-28),Standard (11-14%),Medium,Low,Low
32,Male,Single,2,No,Travel_Frequently,Research & Development,Laboratory Technician,1,2,Life Sciences,3068,13,0,8,0,7,7,3,6,2,4,4,3,3,3,2,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,Low
59,Female,Married,3,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Medical,2670,20,3,12,4,1,0,0,0,3,3,1,4,4,1,2,Yes,Close (0-5km),Experienced (41+),Top Tier (19-25%),Low,High,Low
30,Male,Divorced,24,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Life Sciences,2693,22,1,1,1,1,0,0,0,2,4,3,3,4,2,3,No,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),High,Low,Low
38,Male,Single,23,No,Travel_Frequently,Research & Development,Manufacturing Director,3,3,Life Sciences,9526,21,0,10,0,9,7,1,8,2,4,3,2,4,2,3,No,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),High,None,High
36,Male,Married,27,No,Travel_Rarely,Research & Development,Healthcare Representative,2,3,Medical,5237,13,2,17,6,7,7,7,7,3,3,3,3,3,2,2,No,Far (16+ km),Mid Career (29-40),Standard (11-14%),High,Medium,Medium
35,Male,Married,16,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Medical,2426,13,1,6,0,5,4,0,3,5,1,2,4,3,3,3,No,Far (16+ km),Mid Career (29-40),Standard (11-14%),Medium,Low,Low
